,tweet,sarcastic
0,the only thing i got from college is a caffeine addiction,1
1,i love it when professors draw a big question mark next to my answer on an exam because i’m always like yeah i don’t either ¯\__¯,1
2,remember the hundred emails from companies when covid started getting real i’ve gotten three in regards to support for protests and only shared helpful links and actually said black lives matter we love capitalism ,1
3,today my poppop told me i was not “forced” to go to college  okay sure sureeee,1
4,i did too and i also reported cancun cruz not worrying about the heartbeats of his constituents without electricity or heat when he fled to mexico,1
5,i choose to interpret it as xd the universal emoticon for laughing at those poor poor folks in ubisofts marketing department who have to deal with that branding until the servers quietly shut down 8 months after launch,1
6,why would alexas recipe for yorkshire pudding be a bhaji yorkshire pudding ,1
7,someone hit me w a horse tranquilizer istg ive been in a pool of sweat for 6 hours and i havent slept im so tired but i love my friend so much and oh my fucking god i cant rn,1
8,loving season 4 of trump does america funniest season yet donaldtrump trump maga maga2020,1
9,holly arnold  who imaceleb mbe nope not sure oh hang on you mean mbe yes that’s her ,1
10,any pensioner and 4 year old who dare take me on at dinosaur themed crazy golf will be crushed crushed i tell you,1
11,see brexit is going well,1
12,just like to congratulate everyone on the kop today for the fastest ever poor scouser tommy slow the fuck down,1
13,do i just blast maneskin to get hyped for my osce or,1
14,yes because we need literally every single fucking celebrity to speak up on a topic that is been forced down everyones throats for the past four months i use the internet to get away from these fucking real life problems not everyone needs to weigh in,1
15,i never thought i would say this but i have become one of those people who like bounty bars,1
16,my eldest is having a wild friday night out she is going to bingo ,1
17,whoever’s toddler ass sprayed the entire toilet backstage i hope you stub your toe and bite your tongue really hard also you were clearly dehydrated go drink some damn water like an adult,1
18,gaslight gatekeep girl boss,1
19,i was only in taylor swift’s top 010 of listeners on spotify but last year but yeah totally sound that swiftogeddan in glasgow is sold out,1
20,imagine going to university for 4 years when you could just follow elon musk on twitter for free,1
21,not got one lynx africa for christmas day this year shocked and outraged ruinedchristmas,1
22,the villains in super hero films are awfully polite they always confine their invasions to being above one particular city,1
23,oh my goodness it’s the first week of the summer holidays and harrison has found his recorder give me strength,1
24,imagine your delivery being 2 hours late and imagine calling up your service team only for them to hang up at 10pm coincidentally the same time the office closes but it’s okay my £3 delivery fee is being refunded though ,1
25,teams is down what a shame i can’t do my assignments ,1
26,well i doubt they are trying to smash the doors in to change the regulation of cough medicine,1
27,not at all concerning that a mans just been round to fiddle with the boiler and now he is left the carbon monoxide alarm will not stop beeping,1
28,not telling anyone how i voted in case it doesnt come true euref,1
29,just wondering how to get my diss down by 1500 words  such fun,1
30,it’s been a blissful 25 hours of sleep tonight,1
31,falling asleep at your laptop is always fun,1
32,trying to know all this history tonight is gonna kill me,1
33,love it when jonny makes me use earphones to watch something on my phone so he can play fifa,1
34,nice to be compared to a brick wall ,1
35,blizzard will have to make sure it doesnt exceed the recommended fun level of 10,1
36,if 2020 was a nose it’d be mine ,1
37,would anyone like to give me some money findom,1
38,got very excited that my national trust card arrived i am officially a grandma,1
39,vaccinated this morning not sure it is worked  still committed to apple and no extra autism detected bloody science,1
40,its coming hooooome,1
41,i wish i could tap in to the government bank account,1
42,90 of adulthood is just refilling your brita pitcher,1
43,i suppose though we did sign one for the future so you know not all gloom and doomwe might be good in 6 years time,1
44,where is the chancellor please check the back of your sofas,1
45,i have been informed that as aroace and agender i have triple visibility and am now visible from space,1
46,going to be running on three hours of sleep at work tonight so excited,1
47,does he order 11 at once and drink each one at just over 5 minutes or do we have to take into account going to the bar either way it’s a disgrace and not what we should be promoting to the kids,1
48,i’m now reading 4 books at once what could go wrong ,1
49,i think lunch was ready at the care home then it was time for nap and then countdown,1
50,very good just need to work on your spelling now ,1
51,july 1st half way point of the year well i think we can all agree that 2020 has gone swimmingly so far can’t wait for part 2 murderhornets,1
52,got locked out of twitter for saying it’s embarrassing to be an arsenal fan that’s not okay but people can be abusive and racist and nothing okay ,1
53,i just absolutely love how i have got to work outside for the next 3 days in the heatwave sweatingmyballsoff,1
54,defrost the freezer with the cast of hollyoaks any of them that wanted an extra fun trip could pop to the recycling centre with some empty pesto jars magic,1
55,so very delayed flight from bristol to edinburgh trademark vagueness from staff with a chronic lack of empathy to boot despite me travelling with three young children now time to feed our family with £3 vouchers at airport prices bollocks,1
56,we need to normalise having absolutely fried bleach damaged hair people should talk about this,1
57,wizkid is the king ok lol,1
58,ah yes it really is woodburning stoves in subsaharan africa thats driving the climate crisis ,1
59,started watching house of cards 4 episodes in already i can see it was a good choice,1
60,social care for the young is basically a bath board and bed rest and your done,1
61,very nice we are now briefly up to date hopefully doesnt take you so long to do the english release of the new pixie after we get 910,1
62,justice has been done,1
63,what a race  sarcastic wtf1,1
64,help i am being haunted by dead people my dissertations,1
65,my neighbors taunting me outside my office window by chilling in their hot tub every remotely warm day whilst i sit here on backtoback zooms all day every day the audacity is astonishing,1
66,i have been doing physics for 40 minutes i think i deserve a break  i am never going to get it all done at this rate,1
67,billy gunn sorta relevant for the first time in years,1
68,wish i could understand string theory without knowing math alas i guess i am too hot for conceptual physics,1
69,so we actually have to do hot girl summer without 1989 taylor’s version i’m sick,1
